	favorite_count	retweet_count	timestamp	rating_numerator	rating_denominator	dog_type	breed	confidence	names	likeability
666029285002620928	125	46	2015-11-15 23:05:30+00:00	7	10		Redbone	0.506826		4025.0
666044226329800704	290	136	2015-11-16 00:04:52+00:00	6	10		Rhodesian Ridgeback	0.408143		23664.0
666051853826850816	1196	830	2015-11-16 00:35:11+00:00	2	10		Unidentifiable	0.0		198536.0
666057090499244032	289	138	2015-11-16 00:55:59+00:00	9	10		Golden Retriever	0.00795896		35893.8
666058600524156928	109	57	2015-11-16 01:01:59+00:00	8	10		Miniature Poodle	0.201493		4970.400000000001
666071193221509120	142	58	2015-11-16 01:52:02+00:00	9	10		Gordon Setter	0.503672		7412.4
666073100786774016	316	159	2015-11-16 01:59:36+00:00	10	10		Walker Hound	0.260857		50244.0
666099513787052032	150	66	2015-11-16 03:44:34+00:00	8	10		Lhasa	0.58233		7920.0
666102155909144576	77	11	2015-11-16 03:55:04+00:00	11	10		English Setter	0.298617		931.7
666104133288665088	14029	6384	2015-11-16 04:02:55+00:00	1	10		Unidentifiable	0.0		8956113.600000001
666268910803644416	100	35	2015-11-16 14:57:41+00:00	10	10		Unidentifiable	0.0		3500.0
666273097616637952	170	76	2015-11-16 15:14:19+00:00	11	10		Italian Greyhound	0.176053		14212.000000000002
666287406224695296	142	63	2015-11-16 16:11:11+00:00	1	2		Maltese Dog	0.8575309999999999		4473.0
666293911632134144	490	343	2015-11-16 16:37:02+00:00	3	10		Unidentifiable	0.0		50421.0
666337882303524864	192	89	2015-11-16 19:31:45+00:00	9	10		Newfoundland	0.278407		15379.2
666345417576210432	285	132	2015-11-16 20:01:42+00:00	10	10		Golden Retriever	0.8587440000000001		37620.0
666353288456101888	215	71	2015-11-16 20:32:58+00:00	8	10		Malamute	0.33687399999999995		12212.0
666396247373291520	162	83	2015-11-16 23:23:41+00:00	9	10		Chihuahua	0.978108		12101.400000000001
666407126856765440	105	40	2015-11-17 00:06:54+00:00	7	10		Black-And-Tan Coonhound	0.529139		2940.0
666418789513326592	122	45	2015-11-17 00:53:15+00:00	10	10		Toy Terrier	0.14968	Walter	5490.0
666421158376562688	312	111	2015-11-17 01:02:40+00:00	12	10		Blenheim Spaniel	0.906777		41558.399999999994
666428276349472768	163	82	2015-11-17 01:30:57+00:00	7	10		Pembroke	0.371361		9356.199999999999
666435652385423360	163	53	2015-11-17 02:00:15+00:00	10	10		Chesapeake Bay Retriever	0.18413		8639.0
666644823164719104	229	80	2015-11-17 15:51:26+00:00	9	10		Ibizan Hound	0.0443334	Jimothy	16488.0
666691418707132416	186	47	2015-11-17 18:56:35+00:00	8	10		German Shepherd	0.975401	Christoper	6993.6
666701168228331520	426	218	2015-11-17 19:35:19+00:00	8	10		Labrador Retriever	0.887707		74294.40000000001
666776908487630848	348	174	2015-11-18 00:36:17+00:00	5	10		Miniature Pinscher	0.167175	Josep	30276.0
666781792255496192	381	192	2015-11-18 00:55:42+00:00	10	10		Italian Greyhound	0.618316		73152.0
666786068205871104	752	484	2015-11-18 01:12:41+00:00	2	10		Unidentifiable	0.0		72793.6
666804364988780544	238	92	2015-11-18 02:25:23+00:00	8	10		English Setter	0.32879200000000003	Jockson	17516.8
666817836334096384	514	249	2015-11-18 03:18:55+00:00	9	10		Miniature Schnauzer	0.496953	Jeph	115187.40000000001
666835007768551424	212	80	2015-11-18 04:27:09+00:00	10	10		Airedale	0.448459		16960.0
666837028449972224	811	553	2015-11-18 04:35:11+00:00	3	10		Unidentifiable	0.0		134544.9
666996132027977728	244	94	2015-11-18 15:07:24+00:00	10	10		Rottweiler	0.0624899	Carll	22936.0
667012601033924608	443	222	2015-11-18 16:12:51+00:00	9	10		Unidentifiable	0.0	Klevin	88511.4
667044094246576128	183	51	2015-11-18 18:17:59+00:00	12	10		Golden Retriever	0.765266		11199.6
667065535570550784	165	46	2015-11-18 19:43:11+00:00	8	10		Unidentifiable	0.0		6072.0
667073648344346624	402	121	2015-11-18 20:15:26+00:00	10	10		Chihuahua	0.483682	Dave	48642.0
667119796878725120	328	127	2015-11-18 23:18:48+00:00	10	10		Pembroke	0.741563	Gabe	41656.0
667138269671505920	4593	2210	2015-11-19 00:32:12+00:00	10	10		West Highland White Terrier	0.747713		10150530.0
667171260800061440	221	90	2015-11-19 02:43:18+00:00	10	10		Giant Schnauzer	0.8412649999999999	Kenneth	19890.0
